"krs","raumeinheit","aggregat","apotheken_2017","krankenhausbetten_2016","pflegebedürftige_2017","ambulante_pflege_2017","stationäre_pflege_2017","empfänger_von_pflegegeld_2017","personal_in_pflegeheimen_2017","personal_in_pflegediensten_2017","pflegeheimplätze_2017","betreuungsquote_kleinkinder_2017","siedlungsdichte_2017","freifläche_je_einwohner_2017","waldfläche_je_einwohner_2017","wasserfläche_je_einwohner_2017","einwohnerdichte_2017","einpendler_2017","auspendler_2017","pendler_mit_arbeitsweg_50_km_und_mehr_2017","pendler_mit_arbeitsweg_150_km_und_mehr_2017","pendler_mit_arbeitsweg_300_km_und_mehr_2017","erreichbarkeit_von_autobahnen_2018","erreichbarkeit_von_flughäfen_2018","erreichbarkeit_von_ic_ec_ice_bahnhöfen_2018","erreichbarkeit_von_oberzentren_2018","erreichbarkeit_von_mittelzentren_2018","nahversorgung_supermärkte_durchschnittsdistanz_2017","nahversorgung_supermärkte_anteil_der_bev__1km_radius_2017","nahversorgung_apotheken_durchschnittsdistanz_2017","nahversorgung_apotheken_anteil_der_bev__1km_radius_2017","nahversorgung_grundschulen_durchschnittsdistanz_2017","nahversorgung_grundschulen_anteil_der_bev__1km_radius_2017","nahversorgung_haltestellen_des_öv_durchschnittsdistanz_2017","nahversorgung_haltestellen_des_öv_anteil_der_bev__1km_radius_2017","pkw_dichte_2017"
1001,"Flensburg, Stadt","krsfr. Stadt",27.1,9.47,369.1,29.6,30.1,39.3,100.3,55.7,123.9,35.2,"2.965,50",3.3,"40,9","92,4","1.560",52.4,34.2,14,7.7,3.6,5,98,0,0,0,"500",92,"543",90,"602",89,"180",100,"478"
1002,"Kiel, Stadt","krsfr. Stadt",31.5,9.84,295.2,30.1,26,42.4,74.6,67.8,88.6,34.9,"3.844,70",2.5,"27,7","44","2.090",49.1,30.3,13.1,4.6,3.4,2,64,0,0,0,"460",92,"415",94,"590",89,"193",100,"436"
1003,"Lübeck, Stadt","krsfr. Stadt",27.3,9.15,393.9,20.5,36,42.6,120,44.7,156.1,34.3,"2.718,60",6.8,"152,6","134,8","1.010",43.6,31.3,15,3.9,3,3,9,0,0,0,"532",90,"707",82,"705",88,"276",99,"444"
1004,"Neumünster, Stadt","krsfr. Stadt",32.8,8.62,448.4,23.8,30.4,44.3,126.6,51.9,158.6,29.3,"2.184,30",5,"40,5","23,3","1.108",54.5,38.6,14.7,4.4,3.6,7,47,0,0,0,"588",85,"645",82,"682",81,"187",100,"514"
1051,"Dithmarschen","Landkreis",21.7,5.26,411.9,23.6,28.8,46.4,125.9,43.7,130.8,20.6,"844,5",95.8,"402,7","507,5","93",70.8,73.5,16.7,4,3.1,14,71,19,65,14,"1.864",51,"2.480",41,"1.823",50,"576",87,"583"
1053,"Herzogtum Lauenburg","Landkreis",19.9,3.14,406.7,25.6,28.4,45.2,111.1,56.2,126.2,31.7,"1.344,40",57.6,"1.673,30","265","155",71.7,79.7,15.6,4.1,2.9,10,30,20,31,13,"1.545",63,"2.042",49,"1.804",48,"343",94,"572"
1054,"Nordfriesland","Landkreis",29.6,4.39,370.4,27.7,27.2,43.5,98.9,44.5,111.5,28.1,"740,7",113.5,"528,9","507,2","79",66,65.7,15.1,6.1,3.2,40,122,21,55,36,"1.445",62,"2.559",43,"2.000",48,"721",75,"595"
1055,"Ostholstein","Landkreis",30.4,8.24,440.9,19.5,36.3,43.4,134.1,34.8,176.8,32,"1.208,10",62.4,"704,6","281,8","151",65.9,70.8,15.2,4.4,2.9,9,40,14,32,24,"1.336",64,"1.724",54,"1.811",49,"527",88,"601"
1056,"Pinneberg","Landkreis",24,3.11,358.6,26.2,27.3,45.1,86,39.8,115.4,27.9,"2.171,70",17.2,"187,2","120,4","471",74.2,81,7.2,4.1,3.3,10,30,24,32,10,"807",81,"1.056",66,"849",73,"330",96,"545"
1057,"Plön","Landkreis",23.3,1.93,335.1,19.6,26.8,51.7,87.8,27.5,99.8,34,"1.244,60",77.1,"952,7","857,1","112",74.3,83.8,11.4,3.8,2.9,18,58,24,27,22,"1.686",58,"2.241",47,"1.918",52,"551",86,"597"
